feature	importance	model	run_name
Macrophages Metallothionein	0.018358808010816574	xgb	kong_reverse_cross_dataset
Endothelial cells CD36	0.018071113154292107	xgb	kong_reverse_cross_dataset
Macrophages LYVE1	0.017627252265810966	xgb	kong_reverse_cross_dataset
Goblet cells MUC2 TFF1-	0.016627730801701546	xgb	kong_reverse_cross_dataset
Stem cells OLFM4	0.015725834295153618	xgb	kong_reverse_cross_dataset
Myofibroblasts GREM1 GREM2	0.01527032908052206	xgb	kong_reverse_cross_dataset
Pericytes RERGL NTRK2	0.014810498803853989	xgb	kong_reverse_cross_dataset
Activated fibroblasts CCL19 ADAMADEC1	0.014030423946678638	xgb	kong_reverse_cross_dataset
Glial cells	0.013843905180692673	xgb	kong_reverse_cross_dataset
NK cells KLRF1 CD3G-	0.013236927799880505	xgb	kong_reverse_cross_dataset
Macrophages CCL3 CCL4	0.013077175244688988	xgb	kong_reverse_cross_dataset
Fibroblasts KCNN3 LY6H	0.012444541789591312	xgb	kong_reverse_cross_dataset
Plasma cells	0.012146387249231339	xgb	kong_reverse_cross_dataset
Endothelial cells LTC4S SEMA3G	0.0115998899564147	xgb	kong_reverse_cross_dataset
Endothelial cells CA4 CD36	0.011528008617460728	xgb	kong_reverse_cross_dataset
Pericytes HIGD1B STEAP4	0.011127942241728306	xgb	kong_reverse_cross_dataset
Fibroblasts SFRP2 SLPI	0.009860850870609283	xgb	kong_reverse_cross_dataset
Enterocytes BEST4	0.009705625474452972	xgb	kong_reverse_cross_dataset
T cells OGT	0.009116746485233307	xgb	kong_reverse_cross_dataset
Cycling cells	0.00826377421617508	xgb	kong_reverse_cross_dataset
Fibroblasts SMOC2 PTGIS	0.0070996819995343685	xgb	kong_reverse_cross_dataset
Fibroblasts ADAMDEC1	0.006163104437291622	xgb	kong_reverse_cross_dataset
T cells CD8 KLRG1	0.004919919651001692	xgb	kong_reverse_cross_dataset
Enterocytes TMIGD1 MEP1A	0.004487285856157541	xgb	kong_reverse_cross_dataset
Immune Cycling cells	0.004392140544950962	xgb	kong_reverse_cross_dataset
NK-like cells ID3 ENTPD1	0.003971279598772526	xgb	kong_reverse_cross_dataset
Stem cells OLFM4 PCNA	0.003750247647985816	xgb	kong_reverse_cross_dataset
Goblet cells MUC2 TFF1	0.0033737742342054844	xgb	kong_reverse_cross_dataset
Enteroendocrine cells	0.003367559053003788	xgb	kong_reverse_cross_dataset
Macrophages CXCL9 CXCL10	0.0032636525575071573	xgb	kong_reverse_cross_dataset
B cells AICDA LRMP	0.001767786336131394	xgb	kong_reverse_cross_dataset
B cells	0.000622881983872503	xgb	kong_reverse_cross_dataset
Inflammatory fibroblasts IL11 CHI3L1	0.0	xgb	kong_reverse_cross_dataset
IELs ID3 ENTPD1	0.0	xgb	kong_reverse_cross_dataset
Enterocytes TMIGD1 MEP1A GSTA1	0.0	xgb	kong_reverse_cross_dataset
Epithelial Cycling cells	0.0	xgb	kong_reverse_cross_dataset
Epithelial HBB HBA	0.0	xgb	kong_reverse_cross_dataset
Epithelial cells METTL12 MAFB	0.0	xgb	kong_reverse_cross_dataset
Macrophages	0.0	xgb	kong_reverse_cross_dataset
L cells	0.0	xgb	kong_reverse_cross_dataset
Macrophages PLA2G2D	0.0	xgb	kong_reverse_cross_dataset
Monocytes HBB	0.0	xgb	kong_reverse_cross_dataset
Neutrophils S100A8 S100A9	0.0	xgb	kong_reverse_cross_dataset
Stem cells OLFM4 LGR5	0.0	xgb	kong_reverse_cross_dataset
Stem cells OLFM4 GSTA1	0.0	xgb	kong_reverse_cross_dataset
T cells CD4 IL17A	0.0	xgb	kong_reverse_cross_dataset
